City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
122,Leningradskiy,RU,2020-02-21 19:00:16,69.38,178.42,-9.35,91,100,21.34
123,Bandarbeyla,SO,2020-02-21 19:00:16,9.49,50.81,77.65,75,62,12.41
124,Kruisfontein,ZA,2020-02-21 19:00:16,-34.0,24.73,68.25,82,0,3.18
125,Khatanga,RU,2020-02-21 19:00:17,71.97,102.5,-15.43,98,64,9.26
126,Ondo,NG,2020-02-21 19:00:17,7.1,4.83,89.98,26,6,5.06
127,Encarnacion,PY,2020-02-21 19:00:17,-27.33,-55.9,77.0,38,17,18.34
128,Pantai Remis,MY,2020-02-21 19:00:17,4.46,100.63,78.8,94,20,5.61
129,Manono,CD,2020-02-21 19:00:17,-7.3,27.42,74.84,90,100,1.63
130,Victor Harbor,AU,2020-02-21 19:00:18,-35.57,138.62,61.0,62,1,5.82
131,Marfino,RU,2020-02-21 19:00:18,55.7,37.38,39.2,74,7,6.71
132,Ribeira Grande,PT,2020-02-21 19:00:18,38.52,-28.7,60.8,72,40,6.93
133,Pisco,PE,2020-02-21 19:00:18,-13.7,-76.22,79.0,30,90,8.05
134,Luanda,AO,2020-02-21 19:00:08,-8.84,13.23,84.2,74,40,12.75
135,Rawson,AR,2020-02-21 18:59:54,-43.3,-65.1,57.34,62,0,10.27
136,Novopokrovka,UA,2020-02-21 19:00:20,49.84,36.55,35.6,80,75,6.71
137,Ust-Nera,RU,2020-02-21 19:00:20,64.57,143.2,-31.45,100,100,2.33
138,Ternate,ID,2020-02-21 19:00:20,0.8,127.4,73.04,93,58,3.11
139,Georgetown,MY,2020-02-21 19:00:20,5.41,100.34,82.0,65,20,6.93
140,Vila Franca Do Campo,PT,2020-02-21 19:00:20,37.72,-25.43,59.0,62,75,8.05
141,Mar Del Plata,AR,2020-02-21 19:00:21,-38.0,-57.56,63.0,55,40,18.34
142,Christchurch,NZ,2020-02-21 19:00:21,-43.53,172.63,55.99,87,100,4.7
143,Palmerston,AU,2020-02-21 19:00:21,-12.49,130.98,84.0,88,90,9.17
144,Coihaique,CL,2020-02-21 19:00:21,-45.58,-72.07,82.4,19,0,4.7
145,Masty,BY,2020-02-21 19:00:22,53.41,24.54,36.7,97,100,8.41
146,Kapenguria,KE,2020-02-21 19:00:22,1.25,35.09,68.74,54,96,3.58
147,Bartica,GY,2020-02-21 19:00:22,6.4,-58.62,89.6,52,40,11.41
148,Sao Filipe,CV,2020-02-21 19:00:22,14.9,-24.5,69.82,78,59,28.25
149,Carnarvon,AU,2020-02-21 19:00:22,-24.87,113.63,78.8,88,90,10.29
150,Carauari,BR,2020-02-21 19:00:23,-4.88,-66.9,77.92,89,100,0.49
151,Cody,US,2020-02-21 19:00:23,44.53,-109.06,37.4,44,1,16.11
152,Mansfield,GB,2020-02-21 18:56:55,53.13,-1.2,52.0,76,40,25.28
153,Longyearbyen,SJ,2020-02-21 19:00:24,78.22,15.64,-0.4,70,20,11.41
154,Nikolskoye,RU,2020-02-21 19:00:24,59.7,30.79,39.99,60,75,8.95
155,Shorewood,US,2020-02-21 19:00:24,41.52,-88.2,35.01,40,1,11.41
